Participant_ID,EffectiveDate,TerminationDate,UserId,User Status Description,CreatedDate,HireDate,Organization_ID,ParticipantStatusId,ParticpantStatusDescription,ERName,EmployerOrganizationID,ParticipantName,Participant Last Name,Participant First name,SSN,userStatusID,DOB,ReimbursementMethod,EmploymentStatus,EmploymentStatusID,No: of participants,DivisionName,Bankname,RoutingNo,AccountType,AccountNumber,UserBank_ID,ReimbursementMethod_ID,ByDivision
22543,3/23/2023 12:00:00 AM,,22557,Active,3/23/2023 11:11:55 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"HEPLER,LAURIE",HEPLER,LAURIE,227152388,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22546,3/23/2023 12:00:00 AM,,22560,Inactive,3/23/2023 11:11:58 AM,,1102,2,Active - Part Time,Granite Advisory Services P.C.,1102,"HUDSON,KRISTINA",HUDSON,KRISTINA,402250029,2,,N/A,Terminated,9,1,N/A,,,,,,,False
22549,3/23/2023 12:00:00 AM,,22563,Active,3/23/2023 11:12:01 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"HUSSMANN,NATALIE",HUSSMANN,NATALIE,495117817,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22551,3/23/2023 12:00:00 AM,,22565,Active,3/23/2023 11:12:04 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"INSLEY,RICHARD",INSLEY,RICHARD,215232884,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22555,3/23/2023 12:00:00 AM,,22569,Active,3/23/2023 11:12:08 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"JACKSON,LINDA",JACKSON,LINDA,230158722,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22558,3/23/2023 12:00:00 AM,,22572,Active,3/23/2023 11:12:11 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"JENKINS,MONICA",JENKINS,MONICA,229432835,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22561,3/23/2023 12:00:00 AM,,22575,Active,3/23/2023 11:12:14 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"JOHNSON,DIAMOND",JOHNSON,DIAMOND,228730960,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22564,3/23/2023 12:00:00 AM,,22578,Active,3/23/2023 11:12:17 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"JONES,NAKIA",JONES,NAKIA,241790844,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22567,3/23/2023 12:00:00 AM,,22581,Active,3/23/2023 11:12:20 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"JONES JR,GEORGE",JONES JR,GEORGE,218177576,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22570,3/23/2023 12:00:00 AM,,22584,Active,3/23/2023 11:12:24 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"JUNIUS,ASHLEY",JUNIUS,ASHLEY,227499142,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
22571,3/23/2023 12:00:00 AM,,22585,Active,3/23/2023 11:12:27 AM,,1102,1,Active - Full Time,Granite Advisory Services P.C.,1102,"KAMARA,AISHA",KAMARA,AISHA,137962677,1,,N/A,Employed - Full Time,1,1,N/A,,,,,,,False
